New run.
06-08-17,9.40
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,16367.502,1997.384,6.44,18.175844
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,8513.617,305.483,6.69,1.269720
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rEpsa, rEpsb, rEpsc, bEpsa, bEpsb, bEpsc, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
06-08-17,9.467,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.07523,0.07815,0.00000,0.10930,0.17050,0.51890,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rKd, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment
06-08-17,10.687,1.287,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.96,1.74,8.70,7.62,7.58,26.00,31,37,1.513,0.050,0.110,0.011,1.403,0.038,0.000000,0.671,0.000000,0.000000,

06-08-17,10.771,1.371,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.01,1.75,8.76,7.84,7.58,26.00,31,37,1.733,1.103,14.317,1.447,-12.584,-0.345,0.000000,0.754,0.000000,0.000000,

06-08-17,10.855,1.455,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.05,1.76,8.81,7.69,7.58,25.87,31,37,1.875,1.358,17.732,1.792,-15.857,-0.434,0.000000,0.838,0.000000,0.000000,

06-08-17,10.938,1.539,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.09,1.77,8.86,7.69,7.58,25.87,31,37,1.520,0.245,2.754,0.278,-1.234,-0.034,0.000000,0.922,0.000000,0.000000,

06-08-17,11.022,1.622,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.13,1.78,8.91,7.68,7.58,25.75,31,37,1.486,0.055,0.196,0.020,1.291,0.035,0.000000,1.006,0.000000,0.000000,

06-08-17,11.106,1.706,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.17,1.79,8.95,7.51,7.58,25.87,31,37,1.449,0.048,0.119,0.012,1.330,0.036,0.000000,1.090,0.000000,0.000000,

06-08-17,11.190,1.790,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.20,1.80,8.99,7.36,7.58,25.87,31,37,1.821,0.704,8.881,0.898,-7.061,-0.193,0.000000,1.174,0.000000,0.000000,

06-08-17,11.274,1.874,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.23,1.80,9.03,7.33,7.58,25.87,31,37,4.105,7.637,102.096,10.321,-97.991,-2.684,0.000000,1.257,0.000000,0.000000,

06-08-17,11.358,1.958,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.25,1.81,9.06,7.31,7.58,25.87,31,37,1.744,0.068,0.277,0.028,1.467,0.040,0.000000,1.341,0.000000,0.000000,

06-08-17,11.441,2.042,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.27,1.82,9.09,7.33,7.58,25.87,31,37,1.809,0.069,0.269,0.027,1.539,0.042,0.000000,1.425,0.000000,0.000000,

06-08-17,11.525,2.125,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.29,1.82,9.11,7.34,7.58,25.75,31,37,1.751,0.068,0.270,0.027,1.481,0.041,0.000000,1.509,0.000000,0.000000,

06-08-17,11.609,2.209,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,7.31,1.82,9.13,7.36,7.58,25.75,31,37,1.737,0.067,0.267,0.027,1.470,0.040,0.000000,1.593,0.000000,0.000000,

06-08-17,11.768,2.368,3,continuous,17242.83,286.462,9170.31,15.184,0.002200,0.000475,1.588,5.608,5.462,5.608,5.608,16.92,5.05,0.833,24.60,4.93,29.54,7.46,7.58,25.75,44,56,42.503,1.165,73.172,1.216,-30.669,-0.051,0.000000,0.094,0.000000,0.000000,Reset_Mu

06-08-17,11.852,2.452,3,continuous,17242.83,286.462,9170.31,15.184,0.002200,0.000475,1.588,5.608,5.462,5.608,5.608,16.92,5.05,0.833,24.63,4.94,29.57,7.47,7.57,25.75,44,56,370.945,0.457,-10.478,-0.174,381.423,0.632,0.000000,0.000,0.000000,0.000000,

06-08-17,12.010,2.610,3,periodic,16842.92,274.106,8893.05,14.783,0.002200,0.000475,1.574,5.631,5.625,5.608,5.608,17.13,5.11,0.833,24.63,4.94,29.57,7.51,7.40,25.75,44,56,370.945,0.457,-10.478,-0.174,381.423,0.632,0.000000,0.022,0.000000,0.000000,Reset_Mu

06-08-17,12.105,2.705,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.63,4.93,29.55,7.46,7.57,25.62,44,56,555.887,1.309,26.527,0.441,529.361,0.868,0.000000,0.095,0.000000,0.000000,Reset_Mu

06-08-17,12.189,2.789,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.61,4.92,29.53,7.44,7.57,25.75,44,56,368.561,0.402,-13.514,-0.225,382.076,0.627,0.000000,0.000,0.000000,0.000000,

06-08-17,12.273,2.873,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.58,4.92,29.50,7.46,7.57,25.75,44,56,371.287,0.410,-13.291,-0.221,384.578,0.631,0.000000,0.084,0.000000,0.000000,

06-08-17,12.357,2.957,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.54,4.91,29.45,7.47,7.57,25.75,44,56,372.219,0.408,-13.495,-0.224,385.714,0.633,0.000000,0.168,0.000000,0.000000,

06-08-17,12.440,3.041,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.49,4.90,29.39,7.49,7.56,25.75,44,56,373.456,0.412,-13.348,-0.222,386.803,0.634,0.000000,0.251,0.000000,0.000000,

06-08-17,12.524,3.124,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.43,4.89,29.32,7.51,7.56,25.75,44,56,374.511,0.414,-13.353,-0.222,387.864,0.636,0.000000,0.335,0.000000,0.000000,

06-08-17,12.608,3.208,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.36,4.87,29.23,7.53,7.56,25.75,44,56,375.581,0.413,-13.529,-0.225,389.110,0.638,0.000000,0.419,0.000000,0.000000,

06-08-17,12.692,3.292,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.28,4.86,29.14,7.55,7.56,25.75,44,56,377.876,0.417,-13.548,-0.225,391.423,0.642,0.000000,0.503,0.000000,0.000000,

06-08-17,12.776,3.376,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.19,4.84,29.03,7.58,7.56,25.75,44,56,379.216,0.417,-13.655,-0.227,392.872,0.644,0.000000,0.587,0.000000,0.000000,

06-08-17,12.860,3.460,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,24.09,4.82,28.90,7.60,7.57,25.75,43,55,278.373,0.313,-9.600,-0.160,287.973,0.472,0.000000,0.671,0.000000,0.000000,

06-08-17,12.943,3.544,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,23.98,4.79,28.77,7.60,7.57,25.62,43,55,259.202,0.284,-9.396,-0.156,268.598,0.441,0.000000,0.754,0.000000,0.000000,

06-08-17,13.027,3.627,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,23.85,4.77,28.62,7.49,7.57,25.75,43,55,251.645,0.265,-9.849,-0.164,261.494,0.429,0.000000,0.838,0.000000,0.000000,

06-08-17,13.111,3.711,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,23.72,4.74,28.47,7.40,7.57,25.75,43,55,270.362,0.302,-9.403,-0.156,279.765,0.459,0.000000,0.922,0.000000,0.000000,

06-08-17,13.195,3.795,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,23.58,4.72,28.30,7.38,7.57,25.75,43,55,270.261,0.294,-9.934,-0.165,280.194,0.460,0.000000,1.006,0.000000,0.000000,

06-08-17,13.279,3.879,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,23.43,4.69,28.12,7.38,7.57,25.75,43,55,269.326,0.300,-9.486,-0.158,278.813,0.457,0.000000,1.090,0.000000,0.000000,

06-08-17,13.363,3.963,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,23.27,4.65,27.92,7.40,7.57,25.75,43,55,268.856,0.293,-9.900,-0.165,278.755,0.457,0.000000,1.174,0.000000,0.000000,

06-08-17,13.446,4.047,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,23.10,4.62,27.72,7.42,7.57,25.75,43,55,267.866,0.290,-9.939,-0.165,277.806,0.456,0.000000,1.257,0.000000,0.000000,

06-08-17,13.530,4.130,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,22.92,4.58,27.50,7.44,7.57,25.75,43,55,268.400,0.301,-9.276,-0.154,277.677,0.455,0.000000,1.341,0.000000,0.000000,

06-08-17,13.614,4.214,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,22.73,4.55,27.28,7.47,7.57,25.75,43,55,268.712,0.299,-9.485,-0.158,278.198,0.456,0.000000,1.425,0.000000,0.000000,

06-08-17,13.698,4.298,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,22.54,4.51,27.04,7.49,7.57,25.75,43,54,250.107,0.265,-9.677,-0.161,259.784,0.426,0.000000,1.509,0.000000,0.000000,

06-08-17,13.782,4.382,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,22.33,4.47,26.80,7.51,7.57,25.75,43,54,236.261,0.243,-9.636,-0.160,245.897,0.403,0.000000,1.593,0.000000,0.000000,

06-08-17,13.866,4.466,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,22.12,4.42,26.54,7.55,7.57,25.75,43,54,236.487,0.242,-9.713,-0.162,246.200,0.404,0.000000,1.677,0.000000,0.000000,

06-08-17,13.949,4.550,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,21.89,4.38,26.27,7.57,7.57,25.75,42,54,199.661,0.222,-7.030,-0.117,206.691,0.339,0.000000,1.760,0.000000,0.000000,

06-08-17,14.033,4.633,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,21.66,4.33,25.99,7.58,7.57,25.75,42,54,189.604,0.214,-6.462,-0.107,196.065,0.322,0.000000,1.844,0.000000,0.000000,

06-08-17,14.117,4.717,3,continuous,16836.90,280.033,8890.61,14.582,0.002200,0.000475,1.593,5.607,5.641,5.607,5.607,16.91,5.04,0.833,21.42,4.28,25.71,7.60,7.57,25.75,42,54,189.770,0.214,-6.503,-0.108,196.273,0.322,0.000000,1.928,0.000000,0.000000,

06-08-17,14.226,4.826,3,continuous,17192.92,295.063,9154.06,16.084,0.002013,0.000701,1.585,5.750,5.641,5.750,5.750,18.23,5.44,0.832,22.98,4.62,27.60,7.57,7.57,25.75,43,55,291.437,0.455,-3.719,-0.064,295.155,0.519,0.000000,0.094,0.000000,0.000000,Reset_Mu

06-08-17,14.310,4.910,3,continuous,17192.92,295.063,9154.06,16.084,0.002013,0.000701,1.585,5.750,5.641,5.750,5.750,18.23,5.44,0.832,22.70,4.57,27.27,7.44,7.57,25.75,43,54,242.906,0.254,-11.247,-0.193,254.153,0.447,0.000000,0.000,0.000000,0.000000,

06-08-17,14.394,4.994,3,continuous,17192.92,295.063,9154.06,16.084,0.002013,0.000701,1.585,5.750,5.641,5.750,5.750,18.23,5.44,0.832,22.41,4.51,26.92,7.38,7.57,25.75,43,54,240.156,0.245,-11.499,-0.197,251.656,0.442,0.000000,0.084,0.000000,0.000000,

06-08-17,14.478,5.078,3,continuous,17192.92,295.063,9154.06,16.084,0.002013,0.000701,1.585,5.750,5.641,5.750,5.750,18.23,5.44,0.832,22.12,4.45,26.57,7.36,7.57,25.75,42,54,213.188,0.226,-9.619,-0.165,222.807,0.391,0.000000,0.168,0.000000,0.000000,

06-08-17,14.561,5.162,3,continuous,17192.92,295.063,9154.06,16.084,0.002013,0.000701,1.585,5.750,5.641,5.750,5.750,18.23,5.44,0.832,21.82,4.39,26.21,7.38,7.57,25.75,42,54,193.068,0.213,-8.215,-0.141,201.282,0.354,0.000000,0.251,0.000000,0.000000,

06-08-17,14.732,5.332,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,21.17,4.25,25.43,7.42,7.57,25.75,42,53,221.294,0.347,-2.581,-0.044,223.876,0.392,0.000000,0.095,0.000000,0.000000,Reset_Mu

06-08-17,14.816,5.416,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,20.85,4.19,25.04,7.44,7.57,25.75,42,53,178.949,0.185,-8.303,-0.143,187.252,0.328,0.000000,0.000,0.000000,0.000000,

06-08-17,14.899,5.500,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,20.52,4.12,24.64,7.47,7.57,25.75,42,53,177.441,0.186,-8.060,-0.138,185.501,0.325,0.000000,0.084,0.000000,0.000000,

06-08-17,14.983,5.583,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,20.18,4.06,24.24,7.49,7.57,25.75,41,53,169.335,0.184,-7.257,-0.125,176.592,0.309,0.000000,0.168,0.000000,0.000000,

06-08-17,15.067,5.667,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,19.84,3.99,23.83,7.53,7.57,25.75,41,52,134.281,0.154,-5.269,-0.091,139.550,0.244,0.000000,0.251,0.000000,0.000000,

06-08-17,15.151,5.751,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,19.50,3.92,23.41,7.55,7.57,25.75,41,52,132.742,0.155,-4.993,-0.086,137.735,0.241,0.000000,0.335,0.000000,0.000000,

06-08-17,15.235,5.835,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,19.14,3.85,22.99,7.57,7.57,25.75,41,52,134.930,0.155,-5.268,-0.090,140.198,0.245,0.000000,0.419,0.000000,0.000000,

06-08-17,15.319,5.919,3,continuous,17150.10,294.633,9162.65,16.033,0.002013,0.000701,1.588,5.749,5.753,5.749,5.749,18.22,5.44,0.833,18.79,3.78,22.56,7.58,7.57,25.75,41,52,136.037,1.838,103.712,1.782,32.326,0.057,0.000000,0.503,0.000000,0.000000,

New run.
,0.00
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,16947.003,291.618,7.64,2.266375
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,9055.352,16.518,8.33,0.062513
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rEpsa, rEpsb, rEpsc, bEpsa, bEpsb, bEpsc, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
06-08-17,16.204,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.07523,0.07815,0.00000,0.10930,0.17050,0.51890,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rKd, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment

06-08-17,16.290,0.153,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,9.82,2.98,12.80,7.55,7.58,25.75,36,49,43.433,0.118,2.534,0.044,40.899,0.075,0.000000,0.153,0.000000,0.000000,

06-08-17,16.374,0.237,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,9.55,2.90,12.45,7.57,7.58,25.75,36,48,28.303,0.062,0.683,0.012,27.620,0.050,0.000000,0.000,0.000000,0.000000,

06-08-17,16.458,0.321,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,9.28,2.82,12.10,7.60,7.58,25.75,35,48,25.286,0.060,0.891,0.015,24.396,0.045,0.000000,0.084,0.000000,0.000000,

06-08-17,16.542,0.405,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,9.02,2.74,11.75,7.62,7.58,25.75,35,48,18.852,0.057,1.457,0.025,17.395,0.032,0.000000,0.168,0.000000,0.000000,

06-08-17,16.626,0.488,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,8.75,2.65,11.40,7.64,7.58,25.75,35,47,18.225,0.049,1.056,0.018,17.170,0.031,0.000000,0.251,0.000000,0.000000,

06-08-17,16.709,0.572,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,8.48,2.57,11.06,7.55,7.58,25.75,35,47,17.868,0.036,0.222,0.004,17.646,0.032,0.000000,0.335,0.000000,0.000000,

06-08-17,16.793,0.656,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,8.21,2.49,10.71,7.40,7.58,25.75,35,47,18.959,0.058,1.541,0.027,17.418,0.032,0.000000,0.419,0.000000,0.000000,

06-08-17,16.877,0.740,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,7.95,2.41,10.36,7.36,7.58,25.75,35,46,19.182,0.052,1.087,0.019,18.096,0.033,0.000000,0.503,0.000000,0.000000,

06-08-17,16.961,0.824,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,7.68,2.33,10.02,7.36,7.58,25.75,34,46,15.104,0.046,1.182,0.020,13.922,0.025,0.000000,0.587,0.000000,0.000000,

06-08-17,17.045,0.908,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,7.42,2.25,9.67,7.36,7.58,25.75,34,45,12.589,0.046,1.478,0.025,11.112,0.020,0.000000,0.671,0.000000,0.000000,

06-08-17,17.129,0.991,3,continuous,16947.00,291.618,9055.35,16.518,0.002520,0.000471,1.572,5.060,5.329,5.060,5.060,12.43,5.55,0.767,7.16,2.17,9.33,7.38,7.58,25.75,34,45,12.668,0.043,1.297,0.022,11.371,0.021,0.000000,0.754,0.000000,0.000000,

